title;rating;no_genres_listed;action;adventure;animation;children;comedy;fantasy;IMAX;romance;sci-Fi;western;crime;mystery;thriller;drama;horror;film-Noir;documentary;war;musical
Toy Story (1995);3,920930233;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Jumanji (1995);3,431818182;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Grumpier Old Men (1995);3,259615385;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Waiting to Exhale (1995);2,357142857;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Father of the Bride Part II (1995);3,071428571;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Heat (1995);3,946078431;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
Sabrina (1995);3,185185185;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Tom and Huck (1995);2,875;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sudden Death (1995);3,125;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GoldenEye (1995);3,496212121;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
American President, The (1995);3,671428571;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Dracula: Dead and Loving It (1995);2,421052632;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Balto (1995);3,125;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nixon (1995);3,833333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Cutthroat Island (1995);3;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Casino (1995);3,926829268;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
Sense and Sensibility (1995);3,776119403;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Four Rooms (1995);3,7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ace Ventura: When Nature Calls (1995);2,727272727;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Money Train (1995);2,5;0;1;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0
Get Shorty (1995);3,494382022;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0
Copycat (1995);3,222222222;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0
Assassins (1995);3,125;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
Powder (1995);3,125;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
Leaving Las Vegas (1995);3,625;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Othello (1995);3,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Now and Then (1995);3,333333333;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Persuasion (1995);4,227272727;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
City of Lost Children, The (Cité des enfants perdus, La) (1995);4,013157895;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995);3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
Dangerous Minds (1995);3,184210526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Twelve Monkeys (a.k.a. 12 Monkeys) (1995);3,983050847;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0
Babe (1995);3,65234375;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Dead Man Walking (1995);3,835820896;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
It Takes Two (1995);2,125;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Clueless (1995);3,293269231;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Cry, the Beloved Country (1995);4,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Richard III (1995);3,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
Dead Presidents (1995);3;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
Restoration (1995);3,1875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Mortal Kombat (1995);2,543478261;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
To Die For (1995);3,3125;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0
How to Make an American Quilt (1995);3,066666667;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Seven (a.k.a. Se7en) (1995);3,975369458;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Pocahontas (1995);3,147058824;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1
When Night Is Falling (1995);3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Usual Suspects, The (1995);4,237745098;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
Mighty Aphrodite (1995);3,464285714;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Lamerica (1994);5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Big Green, The (1995);2,333333333;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Georgia (1995);4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Home for the Holidays (1995);3,0625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Postman, The (Postino, Il) (1994);4,027027027;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Indian in the Cupboard, The (1995);3,235294118;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Eye for an Eye (1996);3,75;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
Mr. Holland's Opus (1995);3,70625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996);2,714285714;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Two if by Sea (1996);2,2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Bio-Dome (1996);2,532258065;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lawnmower Man 2: Beyond Cyberspace (1996);2,5;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
French Twist (Gazon maudit) (1995);3,4;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Friday (1995);3,775;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
From Dusk Till Dawn (1996);3,509090909;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0
Fair Game (1995);1,7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kicking and Screaming (1995);3,214285714;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Misérables, Les (1995);3,461538462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
Bed of Roses (1996);4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Big Bully (1996);2,2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Screamers (1995);3,4;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
Nico Icon (1995);4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Crossing Guard, The (1995);3,333333333;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0
Juror, The (1996);2,764705882;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
White Balloon, The (Badkonake sefid) (1995);4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Things to Do in Denver When You're Dead (1995);3,107142857;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0
Antonia's Line (Antonia) (1995);3,875;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Once Upon a Time... When We Were Colored (1995);3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Angels and Insects (1995);3,857142857;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
White Squall (1996);3,966666667;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Dunston Checks In (1996);2,5;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
